Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
"Enhancing the dielectric, electrocaloric and energy storage properties of lead-free Ba0. 85Ca0. 15Zr0. 1Ti0. 9O3 ceramics prepared via sol-gel process",Mathematics and Computational Sciences,2021,"Physica B: Condensed Matter 603, 412760, 2021",Physica B: Condensed Matter,603,,412760
Theoretical and experimental study of AC electrical conduction mechanism in the low temperature range of p-CuIn3Se5,Physics,2018,"Physica E: Low-Dimensional Systems and Nanostructures 99, 37-42, 2018",Physica E: Low-Dimensional Systems and Nanostructures,99,,3742
Theoretical and experimental study of AC electrical conduction mechanism in the low temperature range of p-CuIn3Se5,Mathematics and Computational Sciences,2018,"Physica E: Low-Dimensional Systems and Nanostructures 99, 37-42, 2018",Physica E: Low-Dimensional Systems and Nanostructures,99,,3742
Investigation on relaxation and conduction mechanism in Pb0. 75K0. 5Nb2O6 new ferroelectric ceramic,Physics,2014,"Superlattices and Microstructures 71, 7-22, 2014",Superlattices and Microstructures,71,,722
Investigation on relaxation and conduction mechanism in Pb0. 75K0. 5Nb2O6 new ferroelectric ceramic,Mathematics and Computational Sciences,2014,"Superlattices and Microstructures 71, 7-22, 2014",Superlattices and Microstructures,71,,722
"Direct electrocaloric, structural, dielectric, and electric properties of lead-free ferroelectric material Ba0. 9Sr0. 1Ti1-xSnxO3 synthesized by semi-wet method",Physics,2019,"Physica B: Condensed Matter 566, 55-62, 2019",Physica B: Condensed Matter,566,,5562
"Direct electrocaloric, structural, dielectric, and electric properties of lead-free ferroelectric material Ba0. 9Sr0. 1Ti1-xSnxO3 synthesized by semi-wet method",Mathematics and Computational Sciences,2019,"Physica B: Condensed Matter 566, 55-62, 2019",Physica B: Condensed Matter,566,,5562
"Impedance spectroscopy analysis of the diffuse phase transition in lead-free (Ba0, 85Ca0, 15)(Zr0. 1Ti0. 9) O3 ceramic elaborated by sol-gel method",Physics,2019,"Superlattices and Microstructures 127, 71-79, 2019",Superlattices and Microstructures,127,,7179
"Impedance spectroscopy analysis of the diffuse phase transition in lead-free (Ba0, 85Ca0, 15)(Zr0. 1Ti0. 9) O3 ceramic elaborated by sol-gel method",Mathematics and Computational Sciences,2019,"Superlattices and Microstructures 127, 71-79, 2019",Superlattices and Microstructures,127,,7179
"Structural, dielectric and electrocaloric properties of (Ba0.85Ca0.15)(Ti0.9Zr0.1−xSnx)O3 ceramics elaborated by sol–gel method",Physics,2019,"Journal of Materials Science: Materials in Electronics 30, 14099-14111, 2019",Journal of Materials Science: Materials in Electronics,30,,1409914111
"Structural, dielectric and electrocaloric properties of (Ba0.85Ca0.15)(Ti0.9Zr0.1−xSnx)O3 ceramics elaborated by sol–gel method",Mathematics and Computational Sciences,2019,"Journal of Materials Science: Materials in Electronics 30, 14099-14111, 2019",Journal of Materials Science: Materials in Electronics,30,,1409914111
"Studies of Diffuse Phase Transition in Ferroelectric Solid Solution Pb1-xK2xNb2O6 (x = 0.1, 0.2, 0.25 and 0.3)",Physics,2013,"Ferroelectrics 444 (1), 116-124, 2013",Ferroelectrics,444,1,116124
"Studies of Diffuse Phase Transition in Ferroelectric Solid Solution Pb1-xK2xNb2O6 (x = 0.1, 0.2, 0.25 and 0.3)",Mathematics and Computational Sciences,2013,"Ferroelectrics 444 (1), 116-124, 2013",Ferroelectrics,444,1,116124
Phase diagram and dielectric properties of ferroelectric ceramics Pb2− xK1+ xLixNb5O15,Physics,2011,"Superlattices and Microstructures 49 (3), 300-306, 2011",Superlattices and Microstructures,49,3,300306
Phase diagram and dielectric properties of ferroelectric ceramics Pb2− xK1+ xLixNb5O15,Mathematics and Computational Sciences,2011,"Superlattices and Microstructures 49 (3), 300-306, 2011",Superlattices and Microstructures,49,3,300306
"Structural, dielectric, ferroelectric and tuning properties of Pb-free ferroelectric Ba0. 9Sr0. 1Ti1-xSnxO3",Physics,2020,"Ceramics International 46 (17), 27275-27282, 2020",Ceramics International,46,17,2727527282
"Structural, dielectric, ferroelectric and tuning properties of Pb-free ferroelectric Ba0. 9Sr0. 1Ti1-xSnxO3",Mathematics and Computational Sciences,2020,"Ceramics International 46 (17), 27275-27282, 2020",Ceramics International,46,17,2727527282
Low temperature analysis of the electrical conduction with the NSPT mechanism in p-CuIn3Se5,Physics,2018,"Superlattices and Microstructures 119, 194-200, 2018",Superlattices and Microstructures,119,,194200
Low temperature analysis of the electrical conduction with the NSPT mechanism in p-CuIn3Se5,Mathematics and Computational Sciences,2018,"Superlattices and Microstructures 119, 194-200, 2018",Superlattices and Microstructures,119,,194200
Analysis of conduction mechanism in lamellar double hydroxide by impedance spectroscopy,Physics,2013,"J. Optoelectron. Adv. Mater 15 (11), 1239-1247, 2013",J. Optoelectron. Adv. Mater,15,11,12391247
Analysis of conduction mechanism in lamellar double hydroxide by impedance spectroscopy,Mathematics and Computational Sciences,2013,"J. Optoelectron. Adv. Mater 15 (11), 1239-1247, 2013",J. Optoelectron. Adv. Mater,15,11,12391247
"Structural, dielectric and magnetic studies of (0–3) type multiferroic (1 − x) BaTi0.8Sn0.2O3–(x) La0.5Ca0.5MnO3 (0 ≤ x ≤ 1) composite ceramics",Physics,2020,"Journal of Materials Science: Materials in Electronics 31, 19343-19354, 2020",Journal of Materials Science: Materials in Electronics,31,,1934319354
"Structural, dielectric and magnetic studies of (0–3) type multiferroic (1 − x) BaTi0.8Sn0.2O3–(x) La0.5Ca0.5MnO3 (0 ≤ x ≤ 1) composite ceramics",Mathematics and Computational Sciences,2020,"Journal of Materials Science: Materials in Electronics 31, 19343-19354, 2020",Journal of Materials Science: Materials in Electronics,31,,1934319354
Localization and Electron–Electron Interaction Effects in p‐CuGaTe2,Physics,2001,"physica status solidi (b) 225 (1), 203-208, 2001",physica status solidi (b),225,1,203208
Localization and Electron–Electron Interaction Effects in p‐CuGaTe2,Mathematics and Computational Sciences,2001,"physica status solidi (b) 225 (1), 203-208, 2001",physica status solidi (b),225,1,203208
Impedance spectroscopy studies on lead free Ba1-xMgx (Ti0. 9Zr0. 1) O3 ceramics,Physics,2018,"Superlattices and Microstructures 118, 45-54, 2018",Superlattices and Microstructures,118,,4554
Impedance spectroscopy studies on lead free Ba1-xMgx (Ti0. 9Zr0. 1) O3 ceramics,Mathematics and Computational Sciences,2018,"Superlattices and Microstructures 118, 45-54, 2018",Superlattices and Microstructures,118,,4554
Analysis of relaxation processes and low frequency dispersion in waste water,Physics,2013,"Journal of Optoelectronics and Advanced Materials 15 (November-December 2013 …, 2013",Journal of Optoelectronics and Advanced Materials,15,2013,
Analysis of relaxation processes and low frequency dispersion in waste water,Mathematics and Computational Sciences,2013,"Journal of Optoelectronics and Advanced Materials 15 (November-December 2013 …, 2013",Journal of Optoelectronics and Advanced Materials,15,2013,
Enhanced electrocaloric and energy-storage properties of environment-friendly ferroelectric Ba0. 9Sr0. 1Ti1− xSnxO3 ceramics,Physics,2022,"Materials Today Communications 31, 103351, 2022",Materials Today Communications,31,,103351
Enhanced electrocaloric and energy-storage properties of environment-friendly ferroelectric Ba0. 9Sr0. 1Ti1− xSnxO3 ceramics,Mathematics and Computational Sciences,2022,"Materials Today Communications 31, 103351, 2022",Materials Today Communications,31,,103351
Improved energy storage and electrocaloric properties of lead-free Ba0.85Ca0.15Zr0.1Ti0.9O3 ceramic,Physics,2022,"Journal of Materials Science: Materials in Electronics 33 (18), 14381-14396, 2022",Journal of Materials Science: Materials in Electronics,33,18,1438114396
Improved energy storage and electrocaloric properties of lead-free Ba0.85Ca0.15Zr0.1Ti0.9O3 ceramic,Mathematics and Computational Sciences,2022,"Journal of Materials Science: Materials in Electronics 33 (18), 14381-14396, 2022",Journal of Materials Science: Materials in Electronics,33,18,1438114396
Dielectric relaxation and predominance of NSPT and OLPT conduction processes in Ba0. 9Sr0. 1TiO3,Physics,2019,"Superlattices and Microstructures 127, 176-185, 2019",Superlattices and Microstructures,127,,176185
Dielectric relaxation and predominance of NSPT and OLPT conduction processes in Ba0. 9Sr0. 1TiO3,Mathematics and Computational Sciences,2019,"Superlattices and Microstructures 127, 176-185, 2019",Superlattices and Microstructures,127,,176185
Dielectric and structural properties of diffuse ferroelectric phase transition in Pb1. 85K1. 15Li0. 15Nb5O15 ceramic,Physics,2011,"The European Physical Journal-Applied Physics 53 (2), 20901, 2011",The European Physical Journal-Applied Physics,53,2,20901
Dielectric and structural properties of diffuse ferroelectric phase transition in Pb1. 85K1. 15Li0. 15Nb5O15 ceramic,Mathematics and Computational Sciences,2011,"The European Physical Journal-Applied Physics 53 (2), 20901, 2011",The European Physical Journal-Applied Physics,53,2,20901
"Dielectric Properties Of Lead Potassium Lithium Niobate (Pb1, 85K1, 15Li0, 15Nb5O15) With Tetragonal Tungsten Bronze (TTB) Type Structure",Physics,2010,"Moroccan Journal of Condensed Matter 12 (2), 2010",Moroccan Journal of Condensed Matter,12,2,
"Dielectric Properties Of Lead Potassium Lithium Niobate (Pb1, 85K1, 15Li0, 15Nb5O15) With Tetragonal Tungsten Bronze (TTB) Type Structure",Mathematics and Computational Sciences,2010,"Moroccan Journal of Condensed Matter 12 (2), 2010",Moroccan Journal of Condensed Matter,12,2,
Phosphogypsum recycling: New horizons for a more sustainable road material application,Mathematics and Computational Sciences,2020,"Journal of Building Engineering 30, 101267, 2020",Journal of Building Engineering,30,,101267
Phosphogypsum recycling: New horizons for a more sustainable road material application,Environmental Science,2020,"Journal of Building Engineering 30, 101267, 2020",Journal of Building Engineering,30,,101267
Valorization of phosphate mine waste rocks as materials for road construction,Mathematics and Computational Sciences,2019,"Minerals 9 (4), 237, 2019",Minerals,9,4,237
